script,region,img_size,threads,mean,ci
mandelbrot_seq,full,16,.,0.00133022,0.0004316147030325366
mandelbrot_seq,full,32,.,0.000822024,1.7170006901009735e-5
mandelbrot_seq,full,64,.,0.001667363,3.555041492024266e-5
mandelbrot_seq,full,128,.,0.004834671,0.00011446859700888054
mandelbrot_seq,full,256,.,0.016619036,7.313415513414648e-5
mandelbrot_seq,full,512,.,0.060716903,0.00040267017212150774
mandelbrot_seq,full,1024,.,0.236068987,0.0001755804888412094
mandelbrot_seq,full,2048,.,0.939891814,0.0006408060799051091
mandelbrot_seq,full,4096,.,3.846105364,0.028844473703731374
mandelbrot_seq,full,8192,.,15.994194713,0.12589896826921806
mandelbrot_seq_sem,full,16,.,0.005456871,0.0030490566233916986
mandelbrot_seq_sem,full,32,.,0.000910305,0.00011583290517269004
mandelbrot_seq_sem,full,64,.,0.001287644,3.160436477885957e-5
mandelbrot_seq_sem,full,128,.,0.003518898,3.9694847494611276e-5
mandelbrot_seq_sem,full,256,.,0.012120079,6.685771484871526e-5
mandelbrot_seq_sem,full,512,.,0.0459682,8.83232951736212e-5
mandelbrot_seq_sem,full,1024,.,0.180248389,0.00020109439610629885
mandelbrot_seq_sem,full,2048,.,0.716867973,0.00026659162377383125
mandelbrot_seq_sem,full,4096,.,2.876689245,0.005527270445849882
mandelbrot_seq_sem,full,8192,.,11.46233894,0.002841772511678024
mandelbrot_pth,full,16,1,0.003651927,0.0014789629318252126
mandelbrot_pth,full,16,2,0.000851981,2.3657235602776455e-5
mandelbrot_pth,full,16,4,0.000953398,7.23879698115476e-5
mandelbrot_pth,full,16,8,0.000822438,3.5529739045753975e-5
mandelbrot_pth,full,16,16,0.00098716,5.261893719703918e-5
mandelbrot_pth,full,16,32,0.001263524,2.4668919096701414e-5
mandelbrot_pth,full,32,1,0.001012773,1.3433276668607942e-5
mandelbrot_pth,full,32,2,0.001183994,0.00020679810829678363
mandelbrot_pth,full,32,4,0.000899767,1.645160024854677e-5
mandelbrot_pth,full,32,8,0.001001324,4.766415706329036e-5
mandelbrot_pth,full,32,16,0.000955477,2.3155441501648877e-5
mandelbrot_pth,full,32,32,0.001650926,0.00017753466200374918
mandelbrot_pth,full,64,1,0.001664288,5.1267358555531656e-5
mandelbrot_pth,full,64,2,0.001214056,3.0475428041593464e-5
mandelbrot_pth,full,64,4,0.001528248,9.301680012511547e-5
mandelbrot_pth,full,64,8,0.001153578,1.8589871351420116e-5
mandelbrot_pth,full,64,16,0.001435121,8.468013451347013e-5
mandelbrot_pth,full,64,32,0.001853827,0.000252438349161754
mandelbrot_pth,full,128,1,0.00391776,4.492267690131801e-5
mandelbrot_pth,full,128,2,0.002744231,0.00010426467932940588
mandelbrot_pth,full,128,4,0.002718453,0.00010631811287883496
mandelbrot_pth,full,128,8,0.002450909,4.921848802097682e-5
mandelbrot_pth,full,128,16,0.002561665,7.684644255655292e-5
mandelbrot_pth,full,128,32,0.002330786,3.510465795153772e-5
mandelbrot_pth,full,256,1,0.012580143,4.366461911527648e-5
mandelbrot_pth,full,256,2,0.007757888,0.00016156186364128322
mandelbrot_pth,full,256,4,0.008989417,0.00032594435529899595
mandelbrot_pth,full,256,8,0.010897646,0.0004613276351736684
mandelbrot_pth,full,256,16,0.00686941,0.0003793614646400542
mandelbrot_pth,full,256,32,0.005936332,8.756916529627417e-5
mandelbrot_pth,full,512,1,0.047039667,4.081768273350391e-5
mandelbrot_pth,full,512,2,0.029804573,0.0005043146944911485
mandelbrot_pth,full,512,4,0.023823172,0.00011812603986839979
mandelbrot_pth,full,512,8,0.023464566,0.000344680681763398
mandelbrot_pth,full,512,16,0.019350563,0.0003418176913416404
mandelbrot_pth,full,512,32,0.019453302,0.00039668456124792223
mandelbrot_pth,full,1024,1,0.183134217,0.00020431397461208314
mandelbrot_pth,full,1024,2,0.105552176,0.0014261977791943346
mandelbrot_pth,full,1024,4,0.092201482,0.00014858238357443341
mandelbrot_pth,full,1024,8,0.084267285,0.0006424216735831568
mandelbrot_pth,full,1024,16,0.072185334,0.0004966243623339447
mandelbrot_pth,full,1024,32,0.067758017,0.00041156916956707086
mandelbrot_pth,full,2048,1,0.729256061,0.0005423971073370803
mandelbrot_pth,full,2048,2,0.391212042,0.0014306068409714265
mandelbrot_pth,full,2048,4,0.369797774,0.0017419430655594907
mandelbrot_pth,full,2048,8,0.328510115,0.0014456500192638307
mandelbrot_pth,full,2048,16,0.274824168,0.0014819387214993862
mandelbrot_pth,full,2048,32,0.258844919,0.0012674265692350975
mandelbrot_pth,full,4096,1,2.905541266,0.0018008731342891537
mandelbrot_pth,full,4096,2,1.512619041,0.0016875557905196251
