script,threads,mean,ci
mandelbrot_seq,1,24.091894906,0.026878160
mandelbrot_seq_sem,1,23.101523217,0.011454778
mandelbrot_pth,1,23.310787393,0.004334453
mandelbrot_pth,2,12.728455312,0.003944589
mandelbrot_pth,4,8.212614732,0.006617301
mandelbrot_pth,8,7.772377457,0.010116476
mandelbrot_pth,16,7.794106405,0.025120353
mandelbrot_pth,32,7.719297476,0.005262917
mandelbrot_omp,1,23.202316804,0.002876189
mandelbrot_omp,2,12.665626747,0.002355071
mandelbrot_omp,4,7.699420459,0.016702526
mandelbrot_omp,8,7.628067539,0.018911701
mandelbrot_omp,16,7.599681116,0.007536530
mandelbrot_omp,32,7.635769998,0.008045589
